Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00ASGX,E05000338,South Ruislip,6.4,66.2,73.8,-0.27,82.8,4.0,18.7,18.1,3.0,4.1,15.0,12.3
00ASGY,E05000339,Townfield,4.7,67.4,72.6,0.17,128.4,7.6,13.7,36.7,5.4,7.1,36.3,13.3
00ASGZ,E05000340,Uxbridge North,2.8,65.7,73.5,-0.43,103.4,3.7,18.6,16.2,2.3,3.1,12.3,11.9
00ASHA,E05000341,Uxbridge South,5.2,64.2,73.9,0.14,129.2,5.9,14.1,36.5,3.6,4.9,27.3,12.0
00ASHB,E05000342,West Drayton,5.1,60.5,70.6,0.25,115.4,6.8,17.3,26.4,4.5,7.2,35.7,12.9
00ASHC,E05000343,West Ruislip,3.6,63.5,71.1,-0.58,77.5,3.3,21.8,16.6,2.1,2.7,12.2,11.0
00ASHD,E05000344,Yeading,5.3,54.7,69.6,-0.04,116.5,6.2,9.8,35.2,4.4,7.0,34.8,10.7
00ASHE,E05000345,Yiewsley,5.5,64.4,72.3,0.25,87.6,7.0,13.4,33.2,5.0,6.6,34.2,11.6
00ATFY,E05000346,Bedfont,5.2,61.5,66.1,-0.09,115.9,6.7,18.0,28.2,4.6,6.7,30.5,12.9
00ATFZ,E05000347,Brentford,5.7,67.1,72.0,-0.06,78.3,6.3,14.2,30.6,3.0,6.5,33.4,13.7
00ATGA,E05000348,Chiswick Homefields,7.1,67.6,74.3,-0.63,68.6,3.4,13.9,16.6,2.0,2.8,15.4,9.0
00ATGB,E05000349,Chiswick Riverside,5.7,74.5,76.0,-0.37,61.3,4.4,17.5,20.6,2.1,3.7,14.5,9.6
00ATGC,E05000350,Cranford,4.5,61.2,74.5,0.03,96.5,7.6,15.6,28.4,4.1,6.8,31.3,11.5
00ATGD,E05000351,Feltham North,5.5,59.9,70.2,0.08,229.3,6.4,16.5,33.2,3.4,5.3,27.7,13.4
00ATGE,E05000352,Feltham West,5.7,58.0,69.9,-0.11,87.5,5.3,10.5,25.6,3.2,6.0,30.5,12.5
00ATGF,E05000353,Hanworth,6.7,61.8,68.0,-0.02,89.2,7.0,15.2,26.5,3.6,6.9,35.5,13.3
00ATGG,E05000354,Hanworth Park,5.9,65.2,70.1,-0.16,73.2,6.0,18.3,21.1,3.3,5.1,26.5,13.1
00ATGH,E05000355,Heston Central,5.3,71.4,70.1,-0.20,95.9,6.4,17.8,28.6,3.4,5.2,26.8,10.4
00ATGJ,E05000356,Heston East,5.1,72.7,70.2,-0.51,59.3,5.6,16.4,25.2,3.8,5.0,29.6,10.1
00ATGK,E05000357,Heston West,4.2,73.1,71.8,-0.21,98.1,7.3,12.3,38.8,4.8,6.9,35.3,12.7
00ATGL,E05000358,Hounslow Central,7.4,65.7,73.3,-0.68,85.6,5.1,15.0,30.3,3.6,4.0,22.3,11.2
00ATGM,E05000359,Hounslow Heath,7.1,64.8,71.7,-0.38,96.7,6.5,13.7,32.8,4.0,6.3,30.9,10.9
00ATGN,E05000360,Hounslow South,6.5,66.3,71.1,-0.80,60.9,3.7,18.0,16.6,2.4,1.9,11.6,11.5
00ATGP,E05000361,Hounslow West,5.2,76.0,73.0,-0.07,115.2,6.0,17.5,31.7,3.3,4.2,20.3,11.9
00ATGQ,E05000362,Isleworth,5.0,64.1,72.3,0.14,80.1,7.8,15.4,29.0,3.8,7.9,37.6,12.0
00ATGR,E05000363,Osterley and Spring Grove,5.6,73.9,69.6,-0.68,83.0,3.9,18.9,12.6,2.4,2.9,15.8,10.8
00ATGS,E05000364,Syon,4.8,69.9,73.7,0.09,136.5,7.1,15.9,29.1,3.4,6.7,33.3,12.5
00ATGT,E05000365,Turnham Green,7.7,72.2,76.4,-0.36,105.9,4.0,13.7,24.6,2.0,3.3,15.4,9.6
00AUFX,E05000366,Barnsbury,6.7,70.0,78.1,0.64,129.4,7.0,10.9,50.4,3.9,6.9,41.4,12.5
00AUFY,E05000367,Bunhill,5.4,75.8,79.4,0.68,91.0,8.2,12.9,42.6,5.6,9.1,50.5,12.8
00AUFZ,E05000368,Caledonian,4.6,65.6,74.5,1.01,113.4,8.2,11.0,53.7,4.7,8.3,49.1,13.3
00AUGA,E05000369,Canonbury,6.9,72.6,77.7,0.99,75.9,9.7,13.1,41.9,5.3,11.3,45.4,17.5
00AUGB,E05000370,Clerkenwell,8.5,71.7,79.1,0.74,74.3,8.1,11.4,42.4,3.5,7.6,44.3,15.8
00AUGC,E05000371,Finsbury Park,8.0,69.7,77.1,1.14,109.3,9.7,10.9,63.1,7.0,10.3,51.5,15.7
00AUGD,E05000372,Highbury East,10.0,78.5,79.1,0.85,81.4,5.6,12.4,34.4,3.0,5.3,29.4,13.1
00AUGE,E05000373,Highbury West,9.6,69.4,76.3,0.88,109.1,6.1,9.3,40.4,4.6,6.1,40.0,14.9
00AUGF,E05000374,Hillrise,4.8,68.7,74.5,1.00,133.5,8.8,11.4,49.2,6.0,9.0,41.9,15.1
00AUGG,E05000375,Holloway,5.8,75.5,79.8,1.13,142.3,7.1,8.2,57.6,4.0,7.2,52.0,15.9
00AUGH,E05000376,Junction,8.3,57.7,70.9,1.03,111.1,8.6,15.2,42.5,5.2,7.6,37.8,14.8
00AUGJ,E05000377,Mildmay,9.0,72.7,79.3,1.00,94.1,8.9,10.7,48.3,5.1,9.6,44.2,17.0
00AUGK,E05000378,St George's,8.1,73.5,78.8,1.09,81.4,8.5,14.6,35.9,5.4,7.7,35.4,15.0
00AUGL,E05000379,St Mary's,8.7,61.7,74.3,0.89,104.5,7.5,11.9,40.8,4.1,7.5,41.8,13.0
00AUGM,E05000380,St Peter's,5.6,75.2,79.2,0.77,127.4,6.7,13.0,37.9,3.3,7.2,45.9,13.5
00AUGN,E05000381,Tollington,8.2,67.9,77.2,1.22,119.3,9.4,9.6,57.0,6.2,9.5,44.9,16.0
00AWFY,E05000382,Abingdon,11.7,69.6,77.9,-1.52,65.9,3.8,18.0,14.8,2.1,3.7,18.9,10.0
00AWFZ,E05000383,Brompton,12.5,79.9,79.9,-2.07,47.0,1.9,22.2,8.1,0.9,1.5,13.9,10.4
00AWGA,E05000384,Campden,10.6,77.0,80.3,-1.98,73.5,2.0,15.2,13.2,0.9,1.6,8.2,7.9
00AWGB,E05000385,Colville,17.0,71.8,80.3,-0.26,69.4,8.4,15.5,41.7,5.3,7.5,35.0,16.3
00AWGC,E05000386,Courtfield,11.9,76.6,80.3,-1.56,41.0,2.5,14.7,13.0,1.8,1.7,6.3,9.9
00AWGD,E05000387,Cremorne,11.2,73.2,78.0,-0.36,54.3,7.8,19.8,33.4,2.9,7.1,37.7,13.0
00AWGE,E05000388,Earl's Court,16.2,74.9,80.5,-0.27,71.5,6.8,13.9,33.8,3.3,5.3,25.6,14.2
00AWGF,E05000389,Golborne,10.7,75.5,80.3,0.28,84.1,13.2,16.7,46.4,8.1,12.7,51.9,15.4
00AWGG,E05000390,Hans Town,8.1,79.7,81.8,-1.93,52.1,3.4,25.4,10.4,1.5,3.0,23.3,10.2
00AWGH,E05000391,Holland,8.0,76.7,78.5,-1.69,43.4,4.0,16.6,14.3,2.2,3.6,21.5,10.1
00AWGJ,E05000392,Norland,9.0,75.8,78.4,-0.85,59.1,6.6,23.8,26.1,3.3,6.3,26.1,10.9
00AWGK,E05000393,Notting Barns,8.2,67.0,76.5,0.24,60.4,10.7,16.8,44.3,6.1,10.9,41.8,14.6
00AWGL,E05000394,Pembridge,13.3,72.3,78.3,-1.29,80.1,3.0,14.9,19.1,1.8,2.4,15.0,11.1
00AWGM,E05000395,Queen's Gate,12.6,71.2,80.1,-2.37,50.6,1.0,14.6,11.2,0.9,0.8,5.4,8.7
00AWGN,E05000396,Redcliffe,11.3,76.8,80.8,-0.63,59.8,4.3,14.6,26.5,3.0,3.5,14.4,9.2
00AWGP,E05000397,Royal Hospital,8.8,78.5,79.6,-1.66,76.5,2.8,29.2,12.9,1.3,2.7,10.1,9.4
00AWGQ,E05000398,St Charles,12.2,77.8,80.0,0.46,112.4,11.8,16.8,43.4,5.7,11.6,43.7,16.1
00AWGR,E05000399,Stanley,7.0,78.8,81.1,-1.22,95.4,3.1,17.8,19.6,1.3,2.6,17.1,8.7
00AXFX,E05000400,Alexandra,5.2,78.7,75.6,-1.51,72.7,2.4,19.4,12.3,2.1,1.8,12.8,13.9
00AXFY,E05000401,Berrylands,9.2,77.5,74.8,-0.89,67.2,4.4,20.6,21.1,1.9,3.1,15.1,10.2
00AXFZ,E05000402,Beverley,6.6,72.9,75.5,-1.09,140.6,4.5,15.8,21.5,2.2,3.6,17.8,11.3
00AXGA,E05000403,Canbury,7.5,66.3,73.5,-0.99,79.6,3.5,11.4,22.7,1.9,2.9,12.2,8.5
00AXGB,E05000404,Chessington North and Hook,5.4,71.6,75.0,-0.83,82.4,4.5,21.2,14.5,2.4,3.6,19.0,14.1
00AXGC,E05000405,Chessington South,5.9,65.9,73.7,-1.13,93.9,3.7,16.7,15.9,2.0,3.1,15.8,12.1
00AXGD,E05000406,Coombe Hill,3.9,67.9,73.2,-1.34,82.1,2.3,18.6,15.9,1.5,2.3,16.7,11.1
00AXGE,E05000407,Coombe Vale,6.4,77.9,75.9,-1.55,91.5,2.6,16.1,17.3,1.6,1.8,10.1,10.7
00AXGF,E05000408,Grove,9.0,67.9,74.4,-0.87,73.3,4.2,15.9,23.5,2.2,3.2,18.3,8.6
00AXGG,E05000409,Norbiton,9.2,70.7,76.0,-0.54,143.2,5.6,11.8,38.9,3.4,5.3,32.3,12.5
00AXGH,E05000410,Old Malden,4.8,69.1,74.2,-1.38,68.1,3.3,22.6,10.0,1.8,2.8,16.7,13.8
00AXGJ,E05000411,St James,4.1,75.8,74.0,-1.31,94.6,3.1,24.7,14.4,1.8,2.3,15.3,13.8
00AXGK,E05000412,St Mark's,13.5,73.7,77.3,-1.03,79.7,3.0,11.1,18.9,1.8,1.6,9.1,9.3
00AXGL,E05000413,Surbiton Hill,10.0,68.6,74.9,-1.15,94.5,3.3,17.2,15.8,1.8,2.4,14.1,9.9
00AXGM,E05000414,Tolworth and Hook Rise,6.5,72.0,75.1,-1.26,47.8,3.9,19.1,17.0,2.5,3.1,18.8,12.6
00AXGN,E05000415,Tudor,3.9,67.3,74.4,-1.24,62.5,2.7,19.0,10.0,1.4,2.1,8.0,9.1
00AYFZ,E05000416,Bishop's,9.8,61.8,77.4,0.64,84.3,5.6,12.1,29.5,4.1,4.9,35.7,13.8
00AYGA,E05000417,Brixton Hill,8.9,69.1,72.9,0.51,129.3,6.4,10.4,48.8,6.1,6.9,32.0,13.7
00AYGB,E05000418,Clapham Common,9.7,69.0,74.9,0.42,86.0,3.7,9.7,31.7,3.1,3.6,22.1,10.3
00AYGC,E05000419,Clapham Town,10.6,71.4,74.4,0.63,132.8,5.5,10.7,38.6,3.7,5.2,29.9,11.1
00AYGD,E05000420,Coldharbour,8.2,69.5,71.7,0.48,137.0,9.2,7.9,75.2,9.1,10.9,46.2,15.6
00AYGE,E05000421,Ferndale,9.2,70.2,72.3,0.52,88.0,6.4,9.5,52.5,5.0,6.4,35.2,13.4
00AYGF,E05000422,Gipsy Hill,10.5,52.3,77.9,0.38,85.0,6.8,11.1,40.7,5.3,7.9,37.7,14.6
00AYGG,E05000423,Herne Hill,8.5,70.5,73.2,0.42,108.4,7.0,10.6,40.4,5.6,7.2,27.0,13.1
00AYGH,E05000424,Knight's Hill,7.9,62.3,75.5,0.48,82.8,7.2,14.3,31.1,6.0,8.3,31.3,13.0
00AYGJ,E05000425,Larkhall,10.9,72.0,64.5,0.57,131.9,5.9,7.8,55.8,4.9,6.9,42.1,14.6
00AYGK,E05000426,Oval,10.1,64.5,79.7,0.50,95.0,5.8,11.3,37.9,4.0,5.9,38.2,13.5
00AYGL,E05000427,Prince's,7.5,65.6,74.2,0.69,103.7,7.9,13.2,44.7,5.0,7.9,39.1,13.3
00AYGM,E05000428,St Leonard's,14.2,68.7,75.8,0.73,83.4,5.7,11.7,31.4,5.4,5.5,25.3,11.9
00AYGN,E05000429,Stockwell,15.5,60.9,79.2,0.41,103.3,6.4,9.6,44.6,6.1,7.4,37.2,13.0
00AYGP,E05000430,Streatham Hill,13.9,76.3,77.5,0.27,117.7,5.8,11.6,36.2,4.7,5.5,29.0,13.8
00AYGQ,E05000431,Streatham South,11.1,79.3,75.6,0.37,75.0,5.0,16.1,23.8,4.7,5.1,28.8,13.8
00AYGR,E05000432,Streatham Wells,10.5,74.3,77.3,0.50,135.2,5.0,8.5,46.2,4.4,5.5,32.6,11.6
00AYGS,E05000433,Thornton,14.2,71.0,74.0,0.52,74.6,4.8,11.2,29.6,4.2,5.4,33.2,13.5
00AYGT,E05000434,Thurlow Park,9.9,59.9,72.5,-0.03,101.5,5.6,12.5,31.1,4.3,5.7,26.7,11.0
00AYGU,E05000435,Tulse Hill,8.7,66.8,77.3,0.39,90.3,7.4,10.3,42.6,7.2,8.9,40.7,14.0
00AYGW,E05000436,Vassall,6.4,59.7,74.2,0.61,61.5,8.2,11.0,47.2,7.0,8.7,40.4,15.6
00AZGD,E05000437,Bellingham,9.5,64.2,73.3,0.60,105.2,8.7,13.4,41.8,5.0,10.0,38.1,16.2
00AZGE,E05000438,Blackheath,8.4,75.6,76.4,0.09,117.1,5.2,13.1,31.3,3.3,4.9,27.0,10.1
00AZGF,E05000439,Brockley,11.5,73.1,78.5,0.36,133.9,6.3,8.7,45.8,4.8,6.4,33.5,15.5
00AZGG,E05000440,Catford South,12.2,83.7,71.4,0.08,116.9,5.3,14.0,26.1,4.0,5.0,24.1,14.5
00AZGH,E05000441,Crofton Park,11.4,75.3,74.4,0.17,84.4,5.6,13.1,27.0,4.0,5.4,23.9,12.7
00AZGJ,E05000442,Downham,11.2,54.0,73.9,0.66,91.6,8.5,14.5,41.8,4.9,9.9,39.0,17.4
00AZGK,E05000443,Evelyn,6.1,51.5,69.3,0.56,98.6,6.6,9.0,46.9,5.8,8.9,46.8,14.4
00AZGL,E05000444,Forest Hill,8.4,73.9,76.3,0.27,137.6,5.6,11.9,28.0,4.4,5.5,26.9,12.9
00AZGM,E05000445,Grove Park,6.3,67.6,73.0,0.48,119.4,6.4,17.0,28.2,4.3,6.9,31.9,12.6
00AZGN,E05000446,Ladywell,10.2,77.0,76.0,0.15,155.1,5.5,10.5,35.8,3.8,5.6,25.5,12.6
00AZGP,E05000447,Lee Green,8.5,80.3,75.9,0.30,113.6,5.7,14.3,28.4,3.8,5.6,22.1,11.6
00AZGQ,E05000448,Lewisham Central,11.7,64.3,73.3,0.71,133.1,7.0,10.1,43.5,5.3,7.1,36.3,13.9
00AZGR,E05000449,New Cross,10.4,54.9,66.9,0.55,122.8,6.4,9.5,45.0,6.1,7.1,38.5,13.8
00AZGS,E05000450,Perry Vale,11.5,74.4,74.7,0.40,97.4,6.1,12.8,31.5,5.0,6.8,30.8,14.0
00AZGT,E05000451,Rushey Green,11.6,78.9,76.8,0.65,92.1,8.7,11.8,35.9,5.9,8.6,32.7,15.8
00AZGU,E05000452,Sydenham,7.5,74.8,74.1,0.56,140.7,6.6,14.7,33.8,4.4,7.3,33.3,14.1
00AZGW,E05000453,Telegraph Hill,8.2,76.1,77.3,0.35,140.9,6.9,8.7,51.7,5.5,7.2,34.1,15.1
00AZGX,E05000454,Whitefoot,10.5,66.7,72.8,0.53,98.6,7.0,16.5,28.3,4.7,8.9,35.1,15.9
00BAFX,E05000455,Abbey,10.6,72.2,75.5,-0.62,68.0,3.0,11.0,31.0,1.6,2.5,20.3,8.9
00BAFY,E05000456,Cannon Hill,9.1,81.2,67.9,-0.92,64.4,2.9,23.3,12.9,2.2,2.0,9.8,13.8
00BAFZ,E05000457,Colliers Wood,13.0,75.4,75.8,-0.35,97.3,3.6,10.5,31.5,2.5,3.0,22.2,12.0
00BAGA,E05000458,Cricket Green,13.2,74.8,73.1,0.17,70.8,9.6,20.9,26.5,6.3,9.3,34.1,13.4
00BAGB,E05000459,Dundonald,10.5,74.8,76.5,-1.12,58.8,1.8,15.3,13.2,1.3,1.2,7.5,8.2
00BAGC,E05000460,Figge's Marsh,12.3,73.7,72.8,-0.08,106.7,6.9,14.8,31.6,5.5,7.1,31.3,14.2
00BAGD,E05000461,Graveney,9.3,83.9,74.9,-0.57,57.0,3.8,17.8,20.6,3.7,2.7,19.1,15.0
00BAGE,E05000462,Hillside,7.5,72.1,75.5,-1.13,62.6,2.2,17.6,18.3,1.2,1.2,4.8,6.4
00BAGF,E05000463,Lavender Fields,11.3,61.6,68.8,-0.26,68.9,5.3,12.6,29.1,3.6,5.0,27.3,10.0
00BAGG,E05000464,Longthornton,8.6,73.6,73.8,-0.51,90.6,4.5,15.7,23.0,4.1,3.9,23.5,12.9
00BAGH,E05000465,Lower Morden,6.9,74.0,72.0,-0.79,71.8,3.5,23.4,12.2,2.0,2.8,12.3,13.3
00BAGJ,E05000466,Merton Park,8.8,76.0,71.8,-1.23,62.7,2.5,18.9,13.0,1.4,1.5,10.2,10.9
00BAGK,E05000467,Pollards Hill,6.7,80.9,74.3,-0.41,92.8,5.3,15.9,21.4,5.1,6.5,30.8,12.3
00BAGL,E05000468,Ravensbury,16.2,69.6,72.4,-0.09,84.2,6.4,19.2,20.8,4.3,6.8,30.7,15.9
00BAGM,E05000469,Raynes Park,8.5,78.0,77.1,-0.99,90.6,2.8,21.1,12.6,1.4,2.4,9.7,10.1
00BAGN,E05000470,St Helier,22.8,62.2,73.8,-0.14,83.2,7.1,20.3,25.3,3.9,6.4,26.6,16.9
00BAGP,E05000471,Trinity,8.9,66.9,73.0,-0.63,94.7,3.7,13.4,20.0,2.2,2.9,12.3,6.6
00BAGQ,E05000472,Village,4.4,68.3,73.7,-1.58,60.4,1.3,24.2,8.0,0.6,0.6,2.3,8.5
00BAGR,E05000473,West Barnes,7.1,79.6,69.9,-1.25,85.7,2.3,18.5,13.8,1.8,1.9,13.9,11.6
00BAGS,E05000474,Wimbledon Park,7.8,80.8,77.4,-0.86,72.3,2.7,14.3,13.5,1.5,2.6,10.7,8.3
00BBGB,E05000475,Beckton,6.5,55.5,63.9,0.68,94.2,7.6,6.6,70.0,4.2,7.5,37.3,8.0
00BBGC,E05000476,Boleyn,11.0,78.4,71.6,0.55,89.1,7.8,12.4,50.7,5.5,7.8,39.5,17.6
00BBGD,E05000477,Canning Town North,5.7,65.3,70.6,1.12,144.0,11.1,10.6,70.5,8.4,11.6,42.6,15.0
00BBGE,E05000478,Canning Town South,10.7,60.8,74.9,1.05,90.8,7.1,12.8,42.9,5.4,7.7,45.5,17.2
00BBGF,E05000479,Custom House,4.4,65.6,70.3,0.92,117.3,8.8,12.2,46.8,5.9,9.3,38.9,11.7
00BBGG,E05000480,East Ham Central,11.7,83.9,71.7,0.55,122.1,6.7,10.8,55.7,4.1,6.2,34.5,19.8
00BBGH,E05000481,East Ham North,8.7,82.2,70.1,0.78,217.2,6.3,9.0,67.2,4.1,5.6,34.4,19.7
00BBGJ,E05000482,East Ham South,9.9,82.1,74.4,0.70,118.9,7.9,12.0,41.4,5.6,9.5,39.0,18.5
00BBGK,E05000483,Forest Gate North,9.3,73.4,73.0,0.62,111.4,6.9,10.5,46.8,5.6,6.7,36.0,15.7
00BBGL,E05000484,Forest Gate South,11.3,74.4,72.9,0.75,158.1,7.0,7.9,58.6,5.8,5.9,36.7,18.3
00BBGM,E05000485,Green Street East,9.9,79.1,73.1,0.43,81.1,6.2,9.8,46.1,4.9,5.7,37.6,20.6
00BBGN,E05000486,Green Street West,9.2,84.3,72.2,0.35,95.7,6.0,11.0,53.8,5.1,5.6,37.8,20.4
00BBGP,E05000487,Little Ilford,10.4,73.2,72.5,0.65,130.8,7.9,9.7,56.1,6.1,8.9,42.7,19.7
00BBGQ,E05000488,Manor Park,10.7,72.2,69.7,0.68,121.4,7.5,12.4,47.1,5.6,7.3,38.7,19.2
00BBGR,E05000489,Plaistow North,7.8,75.1,69.5,0.70,93.4,8.1,11.6,52.5,6.8,8.5,42.7,16.8
00BBGS,E05000490,Plaistow South,10.9,83.2,75.6,0.72,80.0,7.6,14.3,36.3,6.5,8.3,40.3,17.2
00BBGT,E05000491,Royal Docks,4.0,57.0,65.2,0.58,62.4,5.6,7.4,39.2,5.1,7.0,39.3,12.0
00BBGU,E05000492,Stratford and New Town,8.9,66.5,76.3,0.73,110.1,4.8,8.9,49.6,5.0,5.0,40.2,14.4
00BBGW,E05000493,Wall End,8.8,84.3,74.0,0.46,101.5,6.6,9.5,45.5,4.8,6.3,36.1,18.4
00BBGX,E05000494,West Ham,9.2,69.5,71.4,0.76,123.4,8.1,11.6,43.7,6.1,7.9,43.0,15.5
00BCFY,E05000495,Aldborough,6.0,75.7,74.0,-0.28,99.3,5.9,20.9,22.4,4.1,5.1,26.2,15.0
00BCFZ,E05000496,Barkingside,4.7,82.2,72.9,-0.48,80.6,4.0,22.1,18.3,2.9,3.0,17.4,15.3
00BCGA,E05000497,Bridge,5.6,70.5,74.8,-0.39,71.8,5.3,18.6,22.6,3.1,4.4,22.4,13.2
00BCGB,E05000498,Chadwell,8.4,66.1,70.5,-0.38,95.1,5.6,17.6,21.6,4.7,6.4,29.1,12.3
